./pandc 7 7 9 15 1 1
Current time: Sat Aug 10 13:24:40 2019




                        Number of Buffers:   7
                      Number of Producers:   7
                      Number of Consumers:   9
Number of items Produced by each producer:  15
Number of items Consumed by each consumer:  11
                         Over consume on?:   1
                      Over consume amount:   6
     Time each Producer Sleeps (seconds) :   1
     Time each Consumer Sleeps (seconds) :   1
  1  was produced by producer->       7
  1  was consumed by consumer->       1
  2  was produced by producer->       5
  2  was consumed by consumer->       2
  3  was produced by producer->       5
  3  was consumed by consumer->       3
  4  was produced by producer->       5
  4  was consumed by consumer->       4
  5  was produced by producer->       7
  5  was consumed by consumer->       5
  6  was produced by producer->       7
  6  was consumed by consumer->       6
  7  was produced by producer->       7
  8  was produced by producer->       6
  8  was consumed by consumer->       8
  9  was produced by producer->       4
  9  was consumed by consumer->       9
 10  was produced by producer->       6
 10  was consumed by consumer->       1
  7  was consumed by consumer->       7
 11  was produced by producer->       6
 11  was consumed by consumer->       2
 12  was produced by producer->       3
 12  was consumed by consumer->       3
 13  was produced by producer->       3
 13  was consumed by consumer->       4
 14  was produced by producer->       5
 14  was consumed by consumer->       5
 15  was produced by producer->       6
 15  was consumed by consumer->       6
 16  was produced by producer->       6
 16  was consumed by consumer->       8
 17  was produced by producer->       6
 17  was consumed by consumer->       9
 18  was produced by producer->       5
 18  was consumed by consumer->       1
 19  was produced by producer->       5
 19  was consumed by consumer->       7
 20  was produced by producer->       5
 20  was consumed by consumer->       2
 21  was produced by producer->       6
 21  was consumed by consumer->       3
 22  was produced by producer->       1
 22  was consumed by consumer->       4
 23  was produced by producer->       1
 23  was consumed by consumer->       5
 24  was produced by producer->       5
 24  was consumed by consumer->       6
 25  was produced by producer->       6
 25  was consumed by consumer->       8
 26  was produced by producer->       3
 26  was consumed by consumer->       9
 27  was produced by producer->       1
 28  was produced by producer->       2
 28  was consumed by consumer->       7
 29  was produced by producer->       4
 29  was consumed by consumer->       2
 30  was produced by producer->       7
 30  was consumed by consumer->       3
 27  was consumed by consumer->       1
 31  was produced by producer->       7
 31  was consumed by consumer->       4
 32  was produced by producer->       7
 32  was consumed by consumer->       5
 33  was produced by producer->       7
 33  was consumed by consumer->       6
 34  was produced by producer->       5
 34  was consumed by consumer->       8
 35  was produced by producer->       5
 35  was consumed by consumer->       9
 36  was produced by producer->       3
 36  was consumed by consumer->       7
 37  was produced by producer->       7
 37  was consumed by consumer->       2
 38  was produced by producer->       6
 38  was consumed by consumer->       3
 39  was produced by producer->       5
 39  was consumed by consumer->       1
 40  was produced by producer->       3
 40  was consumed by consumer->       4
 41  was produced by producer->       7
 42  was produced by producer->       2
 42  was consumed by consumer->       6
 43  was produced by producer->       7
 43  was consumed by consumer->       8
 44  was produced by producer->       2
 44  was consumed by consumer->       9
 41  was consumed by consumer->       5
 45  was produced by producer->       2
 45  was consumed by consumer->       7
 46  was produced by producer->       2
 46  was consumed by consumer->       2
 47  was produced by producer->       2
 47  was consumed by consumer->       3
